Fiyat,Oda Sayısı,Metrekare,Bina Yaşı,Kat Durumu,Bina Konumu
"1.245.000
TL",2 + 1,90 m²,11 Yaşında,3. Kat,Ankara / Mamak / Zirvekent Mah.
"1.245.000
TL",3 + 1,125 m²,20 Yaşında,3. Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.249.000
TL",3 + 1,120 m²,20 Yaşında,Kot 1,Ankara / Mamak / General Zeki Doğan Mah.
"1.249.000
TL",1 + 1,70 m²,25 Yaşında,Kot 2,Ankara / Keçiören / Çaldıran Mah.
"1.249.000
TL",2 + 1,88 m²,16 Yaşında,Bahçe Katı,Ankara / Sincan / Ahi Evran Mah.
"1.249.000
TL",2 + 1,88 m²,18 Yaşında,Bahçe Katı,Ankara / Sincan / Ahi Evran Mah.
"1.249.000
TL",2 + 1,90 m²,17 Yaşında,Bahçe Katı,Ankara / Sincan / Ahi Evran Mah.
"1.250.000
TL",2 + 1,110 m²,30 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şentepe Mah.
"1.250.000
TL",3 + 0,100 m²,35 Yaşında,2. Kat,Ankara / Sincan / Atatürk Mah.
"1.250.000
TL",3 + 1,135 m²,20 Yaşında,Kot 3,Ankara / Polatlı / Zafer Mah.
"1.250.000
TL",2 + 1,110 m²,30 Yaşında,Yüksek Giriş,Ankara / Polatlı / Şentepe Mah.
"1.250.000
TL",2 + 1,85 m²,68 Yaşında,Yüksek Giriş,Ankara / Mamak / Demirlibahçe Mah.
"1.250.000
TL",3 + 1,125 m²,25 Yaşında,Giriş Katı,Ankara / Polatlı / Zafer Mah.
"1.250.000
TL",1 + 1,37 m²,Sıfır Bina,2. Kat,Ankara / Akyurt / Balıkhisar Mah.
"1.250.000
TL",2 + 1,90 m²,50 Yaşında,2. Kat,Ankara / Yenimahalle / Karşıyaka Mah.
"1.250.000
TL",2 + 1,100 m²,30 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.250.000
TL",2 + 1,90 m²,16 Yaşında,Bahçe Katı,Ankara / Sincan / Ahi Evran Mah.
"1.250.000
TL",3 + 1,135 m²,21 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",1 + 1,52 m²,Sıfır Bina,Bahçe Katı,Ankara / Çubuk / Atatürk Mah.
"1.250.000
TL",2 + 1,100 m²,16 Yaşında,Bahçe Katı,Ankara / Sincan / Ahi Evran Mah.
"1.250.000
TL",3 + 1,140 m²,25 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,110 m²,30 Yaşında,Yüksek Giriş,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",1 + 1,60 m²,5 Yaşında,Ara Kat,Ankara / Mamak / Zirvekent Mah.
"1.250.000
TL",2 + 1,100 m²,20 Yaşında,2. Kat,Ankara / Elmadağ / Hasanoğlan Havuzbaşı Mah.
"1.250.000
TL",2 + 1,56 m²,Sıfır Bina,,Ankara / Altındağ / Kavaklı Mah.
"1.250.000
TL",3 + 1,90 m²,24 Yaşında,Bahçe Katı,Ankara / Polatlı / Şehitlik Mah.
"1.250.000
TL",2 + 1,80 m²,Sıfır Bina,,Ankara / Gölbaşı / Oyaca Yeşilçam Mah.
"1.250.000
TL",3 + 1,125 m²,25 Yaşında,Ara Kat,Ankara / Polatlı / Kurtuluş Mah.
"1.250.000
TL",3 + 1,135 m²,30 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",2 + 1,80 m²,23 Yaşında,Kot 1,Ankara / Sincan / Mareşal Çakmak Mah.
"1.250.000
TL",3 + 1,115 m²,30 Yaşında,4. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,125 m²,20 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,135 m²,35 Yaşında,Yüksek Giriş,Ankara / Polatlı / Kurtuluş Mah.
"1.250.000
TL",1 + 1,80 m²,50 Yaşında,1. Kat,Ankara / Mamak / Demirlibahçe Mah.
"1.250.000
TL",2 + 1,80 m²,8 Yaşında,12. Kat,Ankara / Mamak / Zirvekent Mah.
"1.250.000
TL",1 + 1,55 m²,13 Yaşında,Kot 1,Ankara / Beypazarı / Kurtuluş Mah.
"1.250.000
TL",3 + 1,120 m²,35 Yaşında,En Üst Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",1 + 1,55 m²,Sıfır Bina,Giriş Katı,Ankara / Çubuk / Dumlupınar Mah.
"1.250.000
TL",3 + 1,130 m²,19 Yaşında,Ara Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,125 m²,20 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,140 m²,21 Yaşında,2. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",3 + 1,125 m²,20 Yaşında,Bahçe Katı,Ankara / Polatlı / Cumhuriyet Mah.
"1.250.000
TL",2 + 1,95 m²,7 Yaşında,Kot 2,Ankara / Mamak / Başak Mah.
"1.260.000
TL",3 + 1,110 m²,21 Yaşında,3. Kat,Ankara / Polatlı / Şentepe Mah.
"1.260.000
TL",3 + 1,110 m²,35 Yaşında,Kot 3,Ankara / Yenimahalle / Ergenekon Mah.
"1.265.000
TL",2 + 1,85 m²,31 Yaşında,2. Kat,Ankara / Yenimahalle / Karşıyaka Mah.
"1.269.000
TL",2 + 1,100 m²,25 Yaşında,Bahçe Katı,Ankara / Sincan / Tandoğan Mah.
"1.270.000
TL",1 + 1,85 m²,20 Yaşında,Bahçe Katı,Ankara / Mamak / General Zeki Doğan Mah.
"1.270.000
TL",1 + 1,55 m²,Sıfır Bina,Zemin,Ankara / Çubuk / Cumhuriyet Mah.
"1.275.000
TL",2 + 1,100 m²,35 Yaşında,Bahçe Katı,Ankara / Yenimahalle / Demetlale Mah.
"1.275.000
TL",2 + 1,90 m²,30 Yaşında,Yüksek Giriş,Ankara / Altındağ / Gültepe Mah.
"1.275.000
TL",2 + 1,85 m²,30 Yaşında,Giriş Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.275.000
TL",2 + 1,95 m²,50 Yaşında,3. Kat,Ankara / Polatlı / Cumhuriyet Mah.
"1.275.000
TL",3 + 1,130 m²,11 Yaşında,Bahçe Katı,Ankara / Akyurt / Yıldırım Mah.
"1.275.000
TL",3 + 1,145 m²,11 Yaşında,3. Kat,Ankara / Akyurt / Güzelhisar Mah.
"1.280.000
TL",3 + 1,110 m²,30 Yaşında,3. Kat,Ankara / Mamak / Küçük Kayaş Mah.
"1.284.999
TL",1 + 1,55 m²,Sıfır Bina,Yüksek Giriş,Ankara / Çubuk / Yıldırım Beyazıt Mah.
"1.285.000
TL",1 + 1,65 m²,25 Yaşında,Bahçe Katı,Ankara / Mamak / Demirlibahçe Mah.
"1.289.000
TL",2 + 1,110 m²,17 Yaşında,Yüksek Giriş,Ankara / Mamak / General Zeki Doğan Mah.
"1.290.000
TL",3 + 1,120 m²,5 Yaşında,3. Kat,Ankara / Mamak / Yeşilbayır Mah.
"1.295.000
TL",3 + 1,130 m²,15 Yaşında,Bahçe Katı,Ankara / Polatlı / Şentepe Mah.
"1.295.000
TL",1 + 1,50 m²,Sıfır Bina,1. Kat,Ankara / Polatlı / Şentepe Mah.
"1.295.000
TL",2 + 1,80 m²,31 Yaşında,1. Kat,Ankara / Yenimahalle / Anadolu Mah.
"1.295.000
TL",1 + 1,55 m²,Sıfır Bina,1. Kat,Ankara / Polatlı / Şentepe Mah.
